episode,offload,bandwidth,action,reward,next_bandwidth,next_offload
1,[],"[0.0, 0.1]","[0.0, 6451603.0, 336570112.0, 0.0, 0.5060275793075562, 0.493972510099411, 0.4851464629173279, 0.5148534774780273]",0.0,"[0.0, 0.1]",[]
2,[],"[0.0, 0.1]","[0.0, 50084060.0, 98422384.0, 730807232.0, 0.5057655572891235, 0.49423450231552124, 0.4852251708507538, 0.5147749185562134]",0.0,"[0.0, 0.1]",[]
3,[],"[0.0, 0.1]","[0.0, 9707991.0, 0.0, 169787984.0, 0.5058073401451111, 0.49419263005256653, 0.48508474230766296, 0.5149152278900146]",0.0,"[0.0, 0.1]",[]
4,[],"[0.0, 0.1]","[4537415.0, 63000000.0, 728358080.0, 516650048.0, 0.5, 0.5, 0.46393081545829773, 0.5360692143440247]",1.0,"[0.0, 0.1]",[]
5,[],"[0.0, 0.1]","[36800464.0, 63000000.0, 57041532.0, 426418752.0, 0.5, 0.5, 0.46396878361701965, 0.536031186580658]",1.0,"[0.0, 0.1]",[]
6,[],"[0.0, 0.1]","[63000000.0, 0.0, 1000000000.0, 753687360.0, 0.5, 0.5, 0.4642826020717621, 0.5357173681259155]",1.0,"[0.0, 0.1]",[]
7,[],"[0.0, 0.1]","[0.0, 0.0, 85386680.0, 0.0, 0.5, 0.5, 0.46517881751060486, 0.5348211526870728]",2.0,"[0.0, 0.1]",[]
8,[],"[0.0, 0.1]","[0.0, 17018972.0, 460028128.0, 79063216.0, 0.5, 0.5, 0.46398621797561646, 0.5360137820243835]",0.0,"[0.0, 0.1]",[]
9,[],"[0.0, 0.1]","[18618036.0, 0.0, 0.0, 212265888.0, 0.5, 0.5, 0.46398264169692993, 0.5360174179077148]",0.0,"[0.0, 0.1]",[]
10,[],"[0.0, 0.1]","[0.0, 17531316.0, 0.0, 538691520.0, 0.5, 0.5, 0.46536481380462646, 0.5346351861953735]",1.0,"[0.0, 0.1]",[]
